dataset_name,model,target_class,pair_id,clean_count,adv_count,clean_path,adv_path
our_dataset,SegFormer-B5,person,1169181,0,0,/home/ace/Downloads/Dataset/Day/1169181_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1169181_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,11721222,0,0,/home/ace/Downloads/Dataset/Day/11721222_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11721222_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,11802146,0,0,/home/ace/Downloads/Dataset/Day/11802146_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11802146_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1184775,33,0,/home/ace/Downloads/Dataset/Day/1184775_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1184775_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,11921147,0,0,/home/ace/Downloads/Dataset/Day/11921147_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11921147_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,119342,0,0,/home/ace/Downloads/Dataset/Day/119342_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/119342_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1201777,0,237,/home/ace/Downloads/Dataset/Day/1201777_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1201777_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1297251,8307,8639,/home/ace/Downloads/Dataset/Day/1297251_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1297251_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1314425,0,0,/home/ace/Downloads/Dataset/Day/1314425_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1314425_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,13331910,0,0,/home/ace/Downloads/Dataset/Day/13331910_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/13331910_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,13551916,1368,1080,/home/ace/Downloads/Dataset/Day/13551916_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/13551916_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,140120,1391,2603,/home/ace/Downloads/Dataset/Day/140120_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/140120_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,14450,0,5,/home/ace/Downloads/Dataset/Day/14450_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/14450_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1481258,0,835,/home/ace/Downloads/Dataset/Day/1481258_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1481258_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,153373,4701,3468,/home/ace/Downloads/Dataset/Day/153373_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/153373_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1541895,0,0,/home/ace/Downloads/Dataset/Day/1541895_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1541895_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1581031,0,0,/home/ace/Downloads/Dataset/Day/1581031_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1581031_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,159401,0,0,/home/ace/Downloads/Dataset/Day/159401_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/159401_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,182335,20,15,/home/ace/Downloads/Dataset/Day/182335_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/182335_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,187713,0,0,/home/ace/Downloads/Dataset/Day/187713_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/187713_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,19188,5087,6376,/home/ace/Downloads/Dataset/Day/19188_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/19188_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,196581,0,0,/home/ace/Downloads/Dataset/Day/196581_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/196581_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,2041817,6794,6084,/home/ace/Downloads/Dataset/Day/2041817_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/2041817_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,21692,0,0,/home/ace/Downloads/Dataset/Day/21692_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/21692_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,2231013,0,0,/home/ace/Downloads/Dataset/Day/2231013_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/2231013_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,223195,0,0,/home/ace/Downloads/Dataset/Day/223195_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/223195_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,231037,257,1339,/home/ace/Downloads/Dataset/Day/231037_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/231037_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,2461888,0,0,/home/ace/Downloads/Dataset/Day/2461888_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/2461888_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,2531844,0,357,/home/ace/Downloads/Dataset/Day/2531844_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/2531844_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,2711181,0,0,/home/ace/Downloads/Dataset/Day/2711181_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/2711181_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,288913,0,0,/home/ace/Downloads/Dataset/Day/288913_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/288913_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,302966,3963,2167,/home/ace/Downloads/Dataset/Day/302966_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/302966_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,320493,0,0,/home/ace/Downloads/Dataset/Day/320493_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/320493_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,365202,2801,4135,/home/ace/Downloads/Dataset/Day/365202_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/365202_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,37573,0,0,/home/ace/Downloads/Dataset/Day/37573_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/37573_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,3761910,0,0,/home/ace/Downloads/Dataset/Day/3761910_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/3761910_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,400776,0,0,/home/ace/Downloads/Dataset/Day/400776_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/400776_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,43427,410,102,/home/ace/Downloads/Dataset/Day/43427_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/43427_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,43428,0,0,/home/ace/Downloads/Dataset/Day/43428_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/43428_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,4361495,0,0,/home/ace/Downloads/Dataset/Day/4361495_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/4361495_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,450967,39,0,/home/ace/Downloads/Dataset/Day/450967_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/450967_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,4561149,0,0,/home/ace/Downloads/Dataset/Day/4561149_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/4561149_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,460731,415,912,/home/ace/Downloads/Dataset/Day/460731_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/460731_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,463639,0,0,/home/ace/Downloads/Dataset/Day/463639_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/463639_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,4641194,31,690,/home/ace/Downloads/Dataset/Day/4641194_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/4641194_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,471118,0,0,/home/ace/Downloads/Dataset/Day/471118_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/471118_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,4811864,0,0,/home/ace/Downloads/Dataset/Day/4811864_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/4811864_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,481618,10,0,/home/ace/Downloads/Dataset/Day/481618_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/481618_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,4911785,0,0,/home/ace/Downloads/Dataset/Day/4911785_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/4911785_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,5370,0,0,/home/ace/Downloads/Dataset/Day/5370_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/5370_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,550217,108,0,/home/ace/Downloads/Dataset/Day/550217_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/550217_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,564213,0,0,/home/ace/Downloads/Dataset/Day/564213_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/564213_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,568243,0,0,/home/ace/Downloads/Dataset/Day/568243_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/568243_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,5791659,0,1,/home/ace/Downloads/Dataset/Day/5791659_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/5791659_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,5951694,482,0,/home/ace/Downloads/Dataset/Day/5951694_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/5951694_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,596621,0,0,/home/ace/Downloads/Dataset/Day/596621_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/596621_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,60144,119,0,/home/ace/Downloads/Dataset/Day/60144_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/60144_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,602947,0,0,/home/ace/Downloads/Dataset/Day/602947_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/602947_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,611370,22756,20621,/home/ace/Downloads/Dataset/Day/611370_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/611370_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,6461059,0,0,/home/ace/Downloads/Dataset/Day/6461059_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/6461059_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,6521874,2,0,/home/ace/Downloads/Dataset/Day/6521874_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/6521874_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,6761290,0,0,/home/ace/Downloads/Dataset/Day/6761290_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/6761290_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,677878,0,144,/home/ace/Downloads/Dataset/Day/677878_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/677878_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,6942171,0,0,/home/ace/Downloads/Dataset/Day/6942171_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/6942171_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,706997,0,0,/home/ace/Downloads/Dataset/Day/706997_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/706997_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,709297,0,0,/home/ace/Downloads/Dataset/Day/709297_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/709297_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,721627,0,0,/home/ace/Downloads/Dataset/Day/721627_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/721627_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,730301,0,0,/home/ace/Downloads/Dataset/Day/730301_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/730301_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,7402052,11293,12191,/home/ace/Downloads/Dataset/Day/7402052_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/7402052_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,740535,0,0,/home/ace/Downloads/Dataset/Day/740535_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/740535_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,754244,0,0,/home/ace/Downloads/Dataset/Day/754244_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/754244_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,7601172,0,0,/home/ace/Downloads/Dataset/Day/7601172_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/7601172_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,764275,0,0,/home/ace/Downloads/Dataset/Day/764275_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/764275_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,80078,0,0,/home/ace/Downloads/Dataset/Day/80078_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/80078_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,802754,47,0,/home/ace/Downloads/Dataset/Day/802754_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/802754_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,807294,0,116,/home/ace/Downloads/Dataset/Day/807294_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/807294_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,8211195,0,0,/home/ace/Downloads/Dataset/Day/8211195_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/8211195_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,840214,0,0,/home/ace/Downloads/Dataset/Day/840214_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/840214_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,849953,56,679,/home/ace/Downloads/Dataset/Day/849953_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/849953_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,863810,1,0,/home/ace/Downloads/Dataset/Day/863810_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/863810_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,871354,19841,18479,/home/ace/Downloads/Dataset/Day/871354_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/871354_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,878,0,0,/home/ace/Downloads/Dataset/Day/878_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/878_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,8791456,0,0,/home/ace/Downloads/Dataset/Day/8791456_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/8791456_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,960645,0,0,/home/ace/Downloads/Dataset/Day/960645_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/960645_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,973598,283,1952,/home/ace/Downloads/Dataset/Day/973598_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/973598_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,988137,0,0,/home/ace/Downloads/Dataset/Day/988137_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/988137_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,9958,0,0,/home/ace/Downloads/Dataset/Day/9958_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/9958_Night_EXTRASUNNY.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000159.png,1408,136,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000159_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000159_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000161.png,130,18361,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000161_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000161_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000165.png,6687,1777,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000165_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000165_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000167.png,7573,3599,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000167_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000167_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000169.png,7957,0,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000169_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000169_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000173.png,290,1972,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000173_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000173_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000177.png,4618,207,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000177_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000177_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000179.png,4053,3402,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000179_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000179_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000181.png,2558,1452,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000181_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000181_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000183.png,16188,9522,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000183_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000183_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000185.png,19614,38860,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000185_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000185_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000187.png,23521,2,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000187_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000187_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000191.png,2782,856,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000191_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000191_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000195.png,27206,7135,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000195_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000195_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000198.png,37196,4109,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000198_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000198_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000200.png,32802,5,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000200_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000200_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000202.png,21659,3193,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000202_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000202_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000204.png,9453,3044,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000204_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000204_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000214.png,0,0,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000214_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000214_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000216.png,0,0,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000216_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000216_rgb_anon.png
acdc,SegFormer-B5,person,GOPR0351/gopr0351_frame_000226.png,0,0,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train_ref/GOPR0351/GOPR0351_frame_000226_rgb_ref_anon.png,/home/ace/Downloads/rgb_anon_trainvaltest/rgb_anon/night/train/GOPR0351/GOPR0351_frame_000226_rgb_anon.png
